Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
14537,2022,Marine LE PEN,Marine LE PEN,True
24633,2017,François FILLON,François FILLON,True
33200,2017,Emmanuel MACRON,Emmanuel MACRON,True
1640,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
23526,2022,Emmanuel MACRON,Emmanuel MACRON,True
19220,2017,Marine LE PEN,Marine LE PEN,True
8563,2022,Marine LE PEN,Marine LE PEN,True
23647,2022,Emmanuel MACRON,Emmanuel MACRON,True
4464,2017,Marine LE PEN,Marine LE PEN,True
31263,2022,Emmanuel MACRON,Emmanuel MACRON,True
29865,2022,Marine LE PEN,Marine LE PEN,True
3468,2022,Marine LE PEN,Marine LE PEN,True
20120,2017,Marine LE PEN,Marine LE PEN,True
24576,2022,Emmanuel MACRON,Emmanuel MACRON,True
18149,2022,Emmanuel MACRON,Emmanuel MACRON,True
13304,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
5855,2017,Marine LE PEN,Marine LE PEN,True
35751,2017,Emmanuel MACRON,Emmanuel MACRON,True
588,2017,Marine LE PEN,Marine LE PEN,True
21633,2022,Emmanuel MACRON,Emmanuel MACRON,True
35649,2017,Emmanuel MACRON,Emmanuel MACRON,True
5044,2022,Emmanuel MACRON,Emmanuel MACRON,True
8727,2017,Marine LE PEN,Marine LE PEN,True
10783,2022,Marine LE PEN,Marine LE PEN,True
30046,2017,Marine LE PEN,Marine LE PEN,True
4900,2017,Emmanuel MACRON,François FILLON,False
24225,2022,Marine LE PEN,Marine LE PEN,True
9109,2017,Marine LE PEN,Marine LE PEN,True
30404,2017,François FILLON,François FILLON,True
33156,2022,Emmanuel MACRON,Emmanuel MACRON,True
5072,2017,François FILLON,François FILLON,True
34976,2022,Emmanuel MACRON,Emmanuel MACRON,True
24532,2022,Marine LE PEN,Marine LE PEN,True
24351,2017,Marine LE PEN,Marine LE PEN,True
34674,2017,Marine LE PEN,Marine LE PEN,True
13958,2022,Emmanuel MACRON,Emmanuel MACRON,True
11667,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
