Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
31376,2017,François FILLON,Emmanuel MACRON,False
26226,2022,Marine LE PEN,Marine LE PEN,True
12619,2017,Emmanuel MACRON,Emmanuel MACRON,True
23801,2022,Emmanuel MACRON,Emmanuel MACRON,True
30139,2017,Marine LE PEN,Marine LE PEN,True
18768,2017,François FILLON,François FILLON,True
6180,2017,Marine LE PEN,Marine LE PEN,True
12036,2022,Emmanuel MACRON,Emmanuel MACRON,True
11438,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
14177,2022,Emmanuel MACRON,Emmanuel MACRON,True
23398,2022,Marine LE PEN,Marine LE PEN,True
4928,2017,Marine LE PEN,Marine LE PEN,True
4773,2022,Marine LE PEN,Marine LE PEN,True
2564,2017,Marine LE PEN,Marine LE PEN,True
3661,2017,Marine LE PEN,Marine LE PEN,True
19684,2017,François FILLON,François FILLON,True
35222,2017,Emmanuel MACRON,François FILLON,False
23670,2017,François FILLON,François FILLON,True
27627,2017,Marine LE PEN,Marine LE PEN,True
1888,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
7005,2022,Marine LE PEN,Marine LE PEN,True
5035,2017,Emmanuel MACRON,Emmanuel MACRON,True
9278,2022,Marine LE PEN,Marine LE PEN,True
9912,2022,Marine LE PEN,Marine LE PEN,True
7300,2022,Emmanuel MACRON,Emmanuel MACRON,True
15134,2017,François FILLON,Emmanuel MACRON,False
12729,2022,Marine LE PEN,Marine LE PEN,True
26836,2017,Marine LE PEN,Marine LE PEN,True
14239,2017,Emmanuel MACRON,Emmanuel MACRON,True
14119,2017,Marine LE PEN,Marine LE PEN,True
6050,2017,Marine LE PEN,Marine LE PEN,True
20487,2022,Marine LE PEN,Marine LE PEN,True
27829,2017,Marine LE PEN,Marine LE PEN,True
13960,2017,Marine LE PEN,Marine LE PEN,True
17636,2022,Emmanuel MACRON,Emmanuel MACRON,True
17223,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
5347,2017,Marine LE PEN,Marine LE PEN,True
30561,2017,Marine LE PEN,Marine LE PEN,True
31081,2017,François FILLON,Emmanuel MACRON,False
30443,2022,Marine LE PEN,Marine LE PEN,True
7407,2022,Emmanuel MACRON,Emmanuel MACRON,True
